Command,Link,Description
aaa authentication-server windows,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authsrv-win.htm,This command configures a windows server for stateful-NTLM authentication. You must define a Windows server before you can add it to one or more server groups. You create a server group for a specific type of authentication (see aaa server-group on page 1). Windows servers are used for stateful-NTLM authentication.
aaa authentication stateful-dot1x,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authst-dot.htm,This command configures 802.1X authentication for clients on non-Aruba APs. This command configures 802.1X authentication for clients on non-Aruba APs. The Mobility Conductor maintains user session state information for these clients.
aaa authentication stateful-dot1x clear,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authst-dtclr.htm,This command clears automatically-created control path entries for 802.1X users on non-Aruba APs.
aaa authentication stateful-kerberos,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authst-krbr.htm,This command configures stateful Kerberos authentication.
aaa authentication stateful-ntlm,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authst-ntlm.htm,"NTLM is a suite of Microsoft authentication and session security protocols. You can use a stateful NTLM authentication profile to configure a managed device to monitor the NTLM authentication messages between clients and an authentication server. The managed device can then use the information in the SMB headers to determine the username and IP address of the client, the server IP address and the current authentication status client. If the client successfully authenticates via an NTLM authentication server, the managed device can recognize that the client has been authenticated and assign that client a specified user role. When the user logs off or shuts down the client machine, the user will remain in the authenticated role until the user’s authentication is aged out."
aaa auth-trace,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-auth-trace.htm,This command sets parameters for debug tracing in AUTH (light weight tracing).
aaa authentication via auth-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authvia-auth.htm,This command configures the VIA authentication profile and associates user roles to the authentication profile.
aaa authentication via connection-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authvia-con.htm,"This command configures the VIA connection profile. A VIA connection profile contains settings required by VIA to establish a secure connection to the managed device. You can configure multiple VIA connection profiles. A VIA connection profile is always associated to a user role and all users belonging to that role will use the configured settings. If you do not assign a VIA connection profile to a user role, the default connection profile is used."
aaa authentication via global-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authvia-glcf.htm,"The global config option allows you to enable SSL fallback mode. If the SSL fallback mode is enabled, the VIA client will use SSL to create a secure connection."
aaa authentication via web-auth,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authvia-web.htm,"A VIA web authentication profile contains an ordered list of VIA authentication profiles. The web authentication profile is used by end users to login to the VIA download page (https://<server-IP-address>/via) for downloading the VIA client. Only one VIA web authentication profile is available. If more than one VIA authentication profile is configured, users can view this list and select one during the client login."
aaa authentication vpn,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-auth-vpn.htm,This command configures VPN authentication settings.
aaa authentication wired,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-auth-wird.htm,This command configures authentication for a client device that is directly connected to a port on the managed device. It also references an AAA profile that is configured for MAC or 802.1X authentication. The port on the managed device to which the device is connected must be configured as untrusted.
aaa authentication wispr,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-auth-wispr.htm,This command configures WISPr authentication with the WISPr RADIUS server of an ISP.
aaa bandwidth-contract,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-bndwdt-cntr.htm,"This command configures a bandwidth contract. You can apply a configured bandwidth contract to a user role or to a VLAN. When you apply a bandwidth contract to a user role (see user-role on page 1), you specify whether the contract applies to upstream traffic (from the client to the managed device) or downstream traffic (from the managed device to the client). You can also specify whether the contract applies to all users in a specified user role or per-user in a user role."
aaa dns-query-interval,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-dns-qry-int.htm,Configure how often the managed device should generate a DNS request to cache the IP address for a RADIUS server identified via its FQDN.
aaa derivation-rules,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-drivn-ruls.htm,"This command configures rules which assigns a AAA profile, user role or VLAN to a client based upon the client’s association with an AP."
aaa inservice,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-insrvce.htm,This command designates an out of service authentication server to be in service.
aaa ipv6 user add,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-ipv6-usr-add.htm,"This command should only be used for troubleshooting issues with a specific IPv6 client. This command manually assigns a user role or other values to a specified IPv6 client. For example, you can create a role debugging that includes a policy to mirror session packets to a specified destination for further examination, then use this command to assign the debugging role to a specific client. Use the aaa ipv6 user delete command to remove the client or device from the role."
aaa ipv6 user clear-sessions,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-ipv6-usr-clr.htm,This command clears any ongoing sessions that the client already had before being assigned a role with the aaa ipv6 user add command.
aaa ipv6 user delete,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-ipv6-usr-del.htm,"This command allows you to manually delete clients, users, or roles. For example, if you used the aaa ipv6 user add command to assign a user role to an IPv6 client, you can use this command to remove the role assignment."
aaa ipv6 user logout,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-ipv6-usr-lgt.htm,This command logs out an authenticated IPv6 client. The client must reauthenticate.
aaa log,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-log.htm,Enable per-user log files for AAA events.
aaa profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-profile.htm,This command configures the authentication for a WLAN.
aaa password-policy mgmt,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-pwd-ply-mgmt.htm,"Defines a policy for creating management user passwords. By default, the password for a management user has no requirements other than a minimum length of 6 alphanumeric or special characters. You do not need to configure a different management user password policy unless your company enforces a best practices password policy for management users with root access to network equipment."
aaa query-user,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-qry-usr.htm,"Troubleshoot an authentication failure by verifying that the user exists in the authentication server database. If the Admin-DN binds successfully but the wireless user fails to authenticate, issue this command to troubleshoot whether the problem is with the wireless network, the managed device, or the authentication server. The aaa query-user <auth_server> <username> <mac-address> command to make the managed device sends a search query to find the user. If that search fails in spite of the user being in the server database, it is most probable that the base DN where the search was started was not correct. In such case, it is advisable to make the base DN at the root of the authentication server tree."
aaa radius-attributes,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-rad-attr.htm,"This command configures RADIUS attributes to statically configure values to be included in RADIUS Access-Requests and Accounting-Requests. Add RADIUS attributes for use in SDRs. Use the show aaa radius-attributes command to display a list of the current RADIUS attributes recognized by the Mobility Conductor. To add a RADIUS attribute to the list, use the aaa radius-attributes command."
aaa radius modifier,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-rad-mod.htm,"This command configures the RADIUS modifier profile to customize the attributes that are included, excluded and modified in the RADIUS request before it is sent to the authentication server."
aaa rfc-3576-server,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-rfc-srv.htm,"This command configures a RADIUS server that can send user disconnect, session timeout, and CoA messages, as described in RFC 3576, Dynamic Authorization Extensions to RADIUS."
aaa server-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-srv-grp.htm,"This command allows you to add a configured authentication server to an ordered list in a server group, and configure server rules to derive a user role, VLAN ID or VLAN name from attributes returned by the server during authentication."
aaa tacacs-accounting,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-tac-acc.htm,This command configures reporting of commands issued from a managed device to a TACACS+ server group.
aaa test-server,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-test-srv.htm,This command allows you to check a configured RADIUS authentication server or the internal database. You can use this command to check for an out of service RADIUS server.
aaa timers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-timers.htm,This command configures the timers that you can apply to clients and servers.
aaa trusted-ap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-trust-ap.htm,This command configures a trusted non-Aruba AP.
aaa user add,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-usr-add.htm,This command manually assigns a user role or other values to a specified client or device.
aaa user clear-sessions,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-usr-clr-sess.htm,This command clears any ongoing sessions that the client already had before being assigned a role with the aaa user add command.
aaa user delete,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-usr-del.htm,"This command allows you to manually delete clients, users, or roles. For example, if you used the aaa user add command to assign a user role to a client, you can use this command to remove the role assignment. Note that you must provide either AP name or AP IP address if you want to delete bridge-mode clients."
aaa user-del-req-timeout,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-usr-del-timeout.htm,This command is used to configure the user delete request timeout value. The previously entered CLI will be marked complete or timed out when the configured timeout value expires.
aaa user fast-age,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-usr-fst-age.htm,This command enables fast aging of user table entries.
aaa user logout,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-usr-lgout.htm,This command logs out an authenticated client.
aaa user monitor,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-usr-mon.htm,This command checks to see whether the attributes of an authenticated user differs from those in the SOS. It also installs a timer that polls the SOS every 60 seconds and checks the following:
aaa user purge-log,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-usr-pur-log.htm,"This command clears aaa user log files for deleted users, it has no parameters. Per-user log files for AAA events can be used for troubleshooting issues with a specific client or device."
aaa user stats-poll,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-usr-stat-pol.htm,"This command enables user statistics polling. If enabled, ArubaOS will poll user data verify that user information in the datapath of the Mobility Conductor is in synchronization with the data in the authentication module of the Mobility Conductor."
aaa xml-api,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-xml-api.htm,"This command configures an external XML API server, which is used for authentication and subscriber management from external agents. This command configures an external XML API server. For example, an XML API server can send a blacklist/denylist request for a client to the managed device. The server configured with this command is referenced in the AAA profile for the WLAN (see aaa profile on page 1)."
acl-debug alias-rule-hits type,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/acl-dbg-als-rle-hts-typ.htm,Issue this command under the supervision of Aruba technical support to enable the collection and display of advanced ACL debugging information.
activate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/activate.htm,This command synchronizes a managed device or a remote AP whitelist/allowlist on Mobility Conductor with the Activate whitelist/allowlist database. The Mobility Conductor and the Activate server must have layer-3 connectivity to communicate.
add ap arm client-match unsupported,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/add-ap-arm-cm.htm,This command marks a station as unsupported by ClientMatch .
adp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/adp.htm,"This command configures the ADP. Aruba APs send out periodic multicast and broadcast queries to locate Mobility Conductor. If the APs are in the same broadcast domain as Mobility Conductor and ADP is enabled on the managed device, the managed device automatically responds to the queries of APs with its IP address. If the APs are not in the same broadcast domain as Mobility Conductor, you need to enable multicast on the network. You also need to make sure that all routers are configured to listen for IGMP join requests from the managed device and can route the multicast packets. Use the show adp config command to verify that ADP and IGMP join options are enabled on the managed device."
airgroup,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/airgroup.htm,This command configures AirGroup settings.
airgroupprofile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/airgroupprofile.htm,This command configures an AirGroup profile.
airmatch ap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/airmatch-ap.htm,"The airmatch ap freeze command deploys the specified channel and EIRP values to a radio immediately, then freezes those values, regardless of whether the AirMatch RF planning schedule is enabled or disabled. A radio set with the airmatch ap freeze command uses a static radio configuration until those settings get explicitly canceled with the airmatch ap unfreeze command. This command can be used to freeze either the channel or the EIRP value, or both values.  For example, you can freeze the channel on an AP radio, while allowing the EIRP values to be updated by AirMatch."
airmatch ap-partition,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/airmatch-ap-part.htm,This command will start AP partitioning for a specific cluster.
airmatch db-dump,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/airmatch-db-dump.htm,This command creates a dump of the database used by AirMatch. The dump file can be exported using the copy command.
airmatch profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/airmatch-prof.htm,This command configures the AirMatch profile.
airmatch runnow,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/airmatch-runnow.htm,Manually initiate AirMatch RF computations and solution deployment instead of waiting for the next scheduled update period.
airslice,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/airslice.htm,This command configures or modifies an Air Slice profile.
ale-configuration,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ale-conf.htm,"Use this command to enable ALE configuration. After ALE is enabled, you can configure ALE anonymize, STA channel, IP address, and NB API."
allowlist-db cpsec add,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-cpsec-add.htm,This command adds an AP entry to the campus AP whitelist/allowlist.
allowlist-db cpsec delete,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-cpsec-del.htm,"This command removes individual whitelist/allowlist entries for an AP that has been either removed from the network, or is no longer a candidate for automatic certificate provisioning. If the AP whose entry you deleted is still connected to the network and the control plane security feature is configured to send certificates to all APs (or a range of addresses that include that AP), then the managed device will send the AP another certificate, and the AP will reappear in the campus whitelist/allowlist."
allowlist-db cpsec modify,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-cpsec-modi.htm,This command modifies an existing entry in the campus AP whitelist/allowlist.
allowlist-db cpsec purge,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-cpsec-purg.htm,This command clears all entries in the campus AP whitelist/allowlist.
allowlist-db cpsec revoke,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-cpsec-revk.htm,This command revokes a certificate from an AP in the campus AP whitelist/allowlist. Use this command to revoke a certificate from a invalid or suspected rogue AP.
allowlist-db rap add,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-rap-add.htm,This command adds an AP entry to the Remote AP whitelist/allowlist. You can manually add entries to the remote AP whitelist/allowlist to grant valid Remote APs secure access to the network.
allowlist-db rap del,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-rap-del.htm,This command removes an AP entry from the Remote AP whitelist/allowlist.
allowlist-db rap modify,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-rap-mod.htm,This command removes an AP entry from the Remote AP whitelist/allowlist.
allowlist-db rap purge,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-rap-purg.htm,This command clears all entries in the entire Remote AP whitelist/allowlist.
allowlist-db rap revoke,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-rap-revk.htm,This command revokes a certificate from an AP in the Remote AP whitelist/allowlist . Use this command to revoke a certificate from a invalid or suspected rogue AP.
allowlist-db rap-local-switch-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-lcl-sw-wl.htm,This command deletes a managed device from the local switch table used by the Remote AP whitelist/allowlist.
allowlist-db rap-master-switch-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/wl-db-rap-mas-sw.htm,This command deletes a Mobility Conductor from the master/conductor switch table used by the Remote AP whitelist/allowlist.
allowed-address-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/alw-add-lst.htm,This command configures addresses exempted when the deny-inter-user-bridging is enabled.
allow-sso,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/allow-sso.htm,This command configures the AMP SSO for a user name.
am,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/am.htm,"The scan sub-command enables channel scanning for the specified air monitor. In addition, the test sub-command enables the client to test an air monitor. These commands are intended to be used with an AP that is configured as an air monitor."
amon cert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/amon-cert.htm,This command specifies the certificate name for Amon secure.
amon msg-buffer-size,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/amon-msg-bff-siz.htm,This command modifies the size of AMON packets on the managed device.
amon source-interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/amon-src-int.htm,This command specifies the IPv4 address of the VLAN as the source IP address.
amon udp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/amon-udp.htm,Enable the AirWave server to allow traffic on UDP port 8211.
ap am-filter-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-am-fltr-pro.htm,This command configures an AM filter.
ap ap-blacklist-time,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-ap-blklst-tm.htm,"This command determines the time, in seconds, for which a client is manually blocked."
ap arm client-match,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-arm-cm.htm,"This command allows the managed device to use a newer set of ClientMatch rules without updating the entire operating system, reducing network downtime."
ap authorization-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-auth-pro.htm,"The AP authorization-profile specifies which configuration should be assigned to a remote AP that has been provisioned but not yet authenticated at the remote site. By default, these yet-unauthorized APs are put into the temporary AP group authorization-group and assigned the predefined profile NoAuthApGroup. This configuration allows a user to connect to an unauthorized remote AP through a wired port and then enter a corporate username and password. Once a valid user has authorized the remote AP, the AP will be permanently marked as authorized on the network and will then download the configuration assigned to that AP by its permanent AP group."
ap ble-configure,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-ble-conf.htm,"This command configures beacon attributes like major, minor, and uuid on a managed device."
ap ble-init-action,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-ble-init.htm,This command initiates BLE action for APs.
apboot,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/apboot.htm,This command reboots the specified APs.
ap clarity-synthetic,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-clrty-synt.htm,This command allows configuration of the Clarity-Synthetic feature. Clarity Synthetic enables the controller to select and convert a supported AP to client mode. The converted AP acts like a Wi-Fi client and starts synthetic data transaction within the network to monitor and detect the network health.
apconnect,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/apconnect.htm,This command instructs a mesh point to disconnect from its current parent and connect to a new parent.
ap consolidated-provision info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-consol-prov.htm,This command will get all the APs consolidated provision details and store in ap_provision_info.txt.
ap convert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-convt.htm,"This command is used to convert a Campus AP or a Remote AP to an Instant AP that is managed by Aruba Central. However, Aruba does not support this feature for Instant AP deployments that are managed through AirWave or local WebUI, and recommends using this command only in lab or test environments for such deployments."
ap-crash-transfer,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-crsh-tranf.htm,This command allows AP coredump files to be transferred to the controller flash memory if no dumpserver is configured.
ap debug dot 11r remove-key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-dbg-11r-rmvky.htm,Use this command to remove an r1 key from an AP when the AP does not have a cached r1 key during Fast BSS Transition roaming.
ap debug advanced-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-dbg-adv-stats.htm,Issue this command under the supervision of Aruba technical support to enable the collection and display of advanced AP debugging information.
ap debug client-trace stop,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-dbg-clntr-stp.htm,"This command stops tracing management packets from a client MAC address. You must issue the command only under the guidance of Aruba technical support. This command is supported on 100 Series, 120 Series, and 130 Series access points only."
ap debug client-trace start,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-dbg-clntr-str.htm,"This command traces management packets from a client MAC address. You must issue the command only under the guidance of Aruba technical support. This command is supported on 100 Series, 120 Series, and 130 Series access points only."
ap debug openflow,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-dbg-opnfw.htm,"This command deletes all the OpenFlow flows, and should only be used under the guidance of Aruba technical support."
ap debug radio-diag-log,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-dbg-rad-diag-log.htm,"This command collects WLAN firmware diagnostic logs to facilitate firmware debugging. Configure the dump-collection-profile to use this command. When the radio-diag-log collection is stopped using ap debug radio-diag-log stop command, the log file is automatically transferred to the dump server that is configured in dump-collection-profile."
ap debug radio-event-log,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-dbg-rad-evtlg.htm,"Start and stops packet log capture of radio events for debugging purposes, and sends a log file of the events to a dump server when  logging stops."
ap debug radio-registers dump,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-dbg-rad-reg.htm,"This command collects specified radio-register information for debugging purposes, dumps the registers into a local file, and will automatically transfer the file to the dump-server that is configured in ap-system-profile."
ap debug stm-trace,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-dbg-stm-trc.htm,This command enables / disables stm-trace categories.
ap-deep-sleep,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-deep-sleep.htm,This command is used to move the APs into deep-sleep mode.
apdisconnect,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/apdisconnect.htm,This command disconnects a mesh point from its parent.
ap deploy-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-dply-pro.htm,"This command applies the AP deployment policy to the default AP group, and/or to the list of AP MAC addresses included in the UAP blacklist/denylist table, and/or to the specified IP address range. The AP deployment policy redirects the applicable APs to the Instant discovery process, ensuring that the APs run only in controller-less mode."
ap enet-link-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-enet-lnk_pro.htm,This command configures the duplex and speed of the Ethernet port on the AP. The configurable speed is dependent on the port type.
apflash,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/apflash.htm,This command re-flashes the specified AP. Execute this command under the guidance of Aruba technical support.
ap flush-r1-on-new-r0,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-flush-r1-r0.htm,"Use this command to enable or disable flushing of R1 keys, when R0 is updated for d-tunnel or bridge mode."
ap gap-db,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-gap-db.htm,Resynchronize an AP status on a managed device and Mobility Conductor.
ap get-crash-dumps,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-gt-crsh-dmps.htm,This command allows AP crash dump files to be transferred to the controller flash memory on demand from the AP flash memory.
ap general-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-gen-pro.htm,This command configures the general profile of an AP.
ap-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-group.htm,"This command configures an AP group. AP groups are at the top of the configuration hierarchy. An AP group collects virtual AP definitions and configuration profiles, which are applied to APs in the group."
ap image-preload,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-img-preload.htm,Configure APs to preload a new software image from a managed device before it starts actively running the new image.
ap-lacp-strp-ip,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-lacp-strp-ip.htm,Define an AP LACP LMS map information profile that maps a GRE striping IP address to an existing LMS-IP address.
ap-leds,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-leds.htm,"This command allows you to make the LEDs on a defined set of APs either blink or display in the currently configured LED operating mode. Note that if the LED operating mode defined in the AP’s system profile is set to “off”, then the normal parameter in the ap-leds command will disable the LEDs. If the LED operating mode in the AP system profile is set to “normal” then the normal parameter in this command will allow the LEDs light as usual."
ap lldp med-network-policy-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-lldp-mdntk-pro.htm,Define an LLDP MED network policy profile that defines DSCP values and L2 priority levels for a voice or video application.
ap lldp profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-lldp-pro.htm,Define an LLDP profile that specifies the TLV elements to be sent in LLDP PDUs.
ap mesh-accesslist-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-mesh-acl-prof.htm,This command configures a mesh access list profile. Mesh access list profile defines the list of APs each AP is allowed to discover in a mesh topology.
ap mesh-cluster-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-mesh-clst-pro.htm,Mesh cluster profiles are specific to mesh nodes (APs configured for mesh) and provide the framework of the mesh network. You must define and configure the mesh cluster profile before configuring an AP to operate as a mesh node.
ap mesh-ht-ssid-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-mesh-ht-ssid.htm,"The mesh HT SSID profile defines settings unique to 802.11n-capable, high-throughput APs. If none of the APs in your mesh deployment are 802.11n-capable APs, you do not need to configure a HT SSID profile."
ap mesh-radio-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ap-mesh-rad-pro.htm,"Mesh radio profiles are specific to mesh nodes (APs configured for mesh) and determine the RF or channel used by mesh nodes to establish mesh links and the path to the mesh portal. You can configure multiple radio profiles; however, you select and deploy only one radio profile per mesh cluster."
